
Thu Dec 18 19:24:23 2025 | HTTP | IP=127.0.0.1 | VISIT | /
Thu Dec 18 19:24:23 2025 | HTTP | IP=127.0.0.1 | VISIT | /admin
Thu Dec 18 19:32:54 2025 | HTTP | IP=127.0.0.1 | VISIT | /
Thu Dec 18 19:33:04 2025 | HTTP | IP=127.0.0.1 | VISIT | /admin
Thu Dec 18 19:37:17 2025 | HTTP | VISIT | /admin from 127.0.0.1
Thu Dec 18 19:37:24 2025 | HTTP | VISIT | / from 127.0.0.1
Thu Dec 18 19:38:17 2025 | HTTP | VISIT | / from 127.0.0.1
Thu Dec 18 19:38:19 2025 | HTTP | VISIT | /admin from 127.0.0.1
Thu Dec 18 19:49:47 2025 | HTTP | VISIT | /admin from 127.0.0.1
Thu Dec 18 19:49:52 2025 | HTTP | VISIT | / from 127.0.0.1
Thu Dec 18 19:56:01 2025 | HTTP | VISIT | / from 127.0.0.1
Thu Dec 18 19:56:06 2025 | HTTP | VISIT | /admin from 127.0.0.1
Thu Dec 18 19:57:29 2025 | HTTP | VISIT | /admin from 127.0.0.1
Thu Dec 18 19:57:40 2025 | HTTP | ADMIN_LOGIN | IP=127.0.0.1 USER=admin PASS=admin
Thu Dec 18 19:57:52 2025 | HTTP | VISIT | / from 127.0.0.1
Thu Dec 18 19:58:00 2025 | HTTP | VISIT | /admin from 127.0.0.1
Thu Dec 18 20:08:47 2025 | HTTP | LFI_ATTEMPT | IP=127.0.0.1 FILE=
Thu Dec 18 20:09:05 2025 | HTTP | LFI_ATTEMPT | IP=127.0.0.1 FILE=
Thu Dec 18 20:11:51 2025 | HTTP | LFI_ATTEMPT | IP=127.0.0.1 FILE=../../etc/passwd
Thu Dec 18 20:12:05 2025 | HTTP | LFI_ATTEMPT | IP=127.0.0.1 FILE=../../etc/passwd
Thu Dec 18 20:16:35 2025 | HTTP | LFI_ATTEMPT | IP=127.0.0.1 FILE=../../etc/passwd
Thu Dec 18 20:19:02 2025 | HTTP | VISIT | / from 127.0.0.1
Thu Dec 18 20:19:05 2025 | HTTP | VISIT | /admin from 127.0.0.1
Thu Dec 18 20:19:19 2025 | HTTP | ADMIN_LOGIN | IP=127.0.0.1 USER=admin PASS=admin123
Thu Dec 18 20:20:45 2025 | HTTP | LFI_ATTEMPT | IP=127.0.0.1 FILE=../../etc/passwd
Thu Dec 18 20:41:43 2025 | FTP | COMMAND | IP=127.0.0.1 CMD=USER admin
Thu Dec 18 20:41:43 2025 | FTP | USERNAME | IP=127.0.0.1 USER=admin
Thu Dec 18 20:41:51 2025 | FTP | COMMAND | IP=127.0.0.1 CMD=PASS 123456
Thu Dec 18 20:41:51 2025 | FTP | LOGIN_ATTEMPT | IP=127.0.0.1 USER=admin PASS=123456
Thu Dec 18 20:41:55 2025 | FTP | COMMAND | IP=127.0.0.1 CMD=EPSV
Thu Dec 18 20:41:55 2025 | FTP | COMMAND | IP=127.0.0.1 CMD=PASV
Thu Dec 18 20:41:55 2025 | FTP | COMMAND | IP=127.0.0.1 CMD=PORT 127,0,0,1,170,11
Thu Dec 18 20:42:28 2025 | FTP | COMMAND | IP=127.0.0.1 CMD=PORT 127,0,0,1,229,235
Thu Dec 18 20:43:51 2025 | FTP | COMMAND | IP=127.0.0.1 CMD=QUIT
Sat Jan  3 23:01:48 2026 | HTTP | VISIT | / from 127.0.0.1
Sat Jan  3 23:01:51 2026 | HTTP | VISIT | /admin from 127.0.0.1
Sat Jan  3 23:01:58 2026 | HTTP | ADMIN_LOGIN | IP=127.0.0.1 USER=' OR '1'='1 PASS=' OR '1'='1
